"cible","rule_id","titre","severite","sources","med_keys","med_keys_2","comorbs","contexte","fragilite","quarantaine_actuelle","RECOMMANDATION","DECISION (GARDER/FUSIONNER/QUARANTAINE)","fusionner_avec / note"
"anticoag","SUP_PIMC_09","Anticoagulant + antiagrégant sans indication documentée de double thérapie","danger","PIM_CHECK","anticoag;apixaban;rivaroxaban;dabigatran;edoxaban;acenocoumarol;warfarine;fluindione","antiagreg;acide acetylsalicylique;clopidogrel","","","","non","CLE_COMPOSEE (verifier ciblage)","",""
"aod","SUP_DEP_062","Anticoagulants (STOPP/FRAIL)","info","STOPPFRAIL+REMEDIES+PIM_CHECK","aod;avk","","","","severe","non","OK (a priori)","",""
"aod","SUP_STOP_010","Anticoagulant prolonge premier episode TVP","warning","STOPP3+PIM_CHECK","aod;avk","","","mtev","","non","OK (a priori)","",""
"aod","SUP_STOP_011","Anticoagulant prolonge premier episode EP","warning","STOPP3+PIM_CHECK","aod;avk","","","mtev","","non","OK (a priori)","",""
"aod apixaban","SUP_START_013","Anticoagulant","warning","BEERS+PRISCUS+PIM_CHECK","aod apixaban;rivaroxaban;dabigatran;edoxaban","","","","","non","CLE_COMPOSEE (verifier ciblage)","",""
"aspirine","SUP_STOP_008","Aspirine + clopidogrel au long cours prevention AVC","warning","STOPP3+PRISCUS+REMEDIES+PIM_CHECK","aspirine","clopidogrel","","","","non","OK (a priori)","",""
"aspirine","SUP_STOP_026","Antiagregant ou anticoagulant","warning","STOPP3+PIM_CHECK","aspirine;clopidogrel;aod;avk","","","","","non","OK (a priori)","",""
"aspirineclopidogrel  aodavk","SUP_STOP_009","Antiagregant + anticoagulant","warning","STOPP3+BEERS+PRISCUS+REMEDIES+PIM_CHECK","aspirineclopidogrel  aodavk","","","","","non","CLE_COMPOSEE (verifier ciblage)","",""
"atorvastatine","SUP_DEP_060","Statines (STOPP/FRAIL)","info","BEERS+FORTA+PRISCUS+STOPPFRAIL+REMEDIES+PIM_CHECK","atorvastatine;rosuvastatine;simvastatine","","","","severe","non","OK (a priori)","",""
"atorvastatine","SUP_PIMC_12","Statine haute dose chez > 75 ans sans réévaluation","warning","PIM_CHECK","atorvastatine;rosuvastatine","","","","","non","OK (a priori)","",""
"betabloquant","SUP_INT_008","Bêtabloquant + Inhibiteur acétylcholinestérase : bradycardie","warning","REMEDIES","betabloquant","donepezil;rivastigmine;galantamine","","","","non","OK (a priori)","",""
"betahistine","SUP_REM_07","Anti-vertigineux au long cours (bétahistine, méclizine)","warning","REMEDIES","betahistine;meclizine;flunarizine;cinnarizine","","","","","non","OK (a priori)","",""
"bisacodyl","SUP_REM_04","Laxatif stimulant au long cours","warning","REMEDIES","bisacodyl;sene","","","","","non","OK (a priori)","",""
"bisoprolol","SUP_START_007","Beta-bloquant","warning","STOPP3+BEERS+FORTA+REMEDIES+PIM_CHECK","bisoprolol;metoprolol;carvedilol;nebivolol","","","","","non","OK (a priori)","",""
"bisphosphonate alendronate","SUP_START_040","Traitement anti-resorptif apres arret denosumab","warning","STOPP3+REMEDIES+PIM_CHECK","bisphosphonate alendronate;acide zoledronique","","","","","non","CLE_COMPOSEE (verifier ciblage)","",""
"bisphosphonate ou denosumab","SUP_START_041","Traitement anti-resorptif apres arret teriparatide","warning","STOPP3+REMEDIES+PIM_CHECK","bisphosphonate ou denosumab","","","","","non","CLE_COMPOSEE (verifier ciblage)","",""
"carbonate de calcium","SUP_REM_02","Supplémentation calcique > 1000 mg/j","warning","REMEDIES","carbonate de calcium;calcium","","","","","non","CLE_COMPOSEE (verifier ciblage)","",""
"carbonate de calcium","SUP_START_023","Chelateurs du phosphore","warning","STOPP3+REMEDIES+PIM_CHECK","carbonate de calcium;sevelamer;carbonate de lanthane","","","","","non","CLE_COMPOSEE (verifier ciblage)","",""
"carisoprodol","SUP_STOP_019","Medicaments myorelaxants","warning","BEERS+FORTA+PRISCUS+STOPPFRAIL+REMEDIES+PIM_CHECK","carisoprodol;chlorzoxazone;cyclobenzaprine;methocarbamol;orphenadrine;tizanidine","","","","","non","OK (a priori)","",""
"chlorpromazine","SUP_STOP_066","Chlorpromazine, thioridazine, melperone (fortes doses)","warning","BEERS+PRISCUS+STOPPFRAIL+REMEDIES+PIM_CHECK","chlorpromazine;thioridazine;melperone","","","","","non","OK (a priori)","",""
"cinnarizine","SUP_EU7_01","Cinnarizine / Flunarizine","warning","EU7PIM","cinnarizine;flunarizine","","","","","non","OK (a priori)","",""
"clozapine","SUP_PIMC_11","Clozapine sans NFS hebdomadaire","danger","PIM_CHECK","clozapine","","","","","non","OK (a priori)","",""
"colchicine","SUP_INT_006","Colchicine + Macrolide : CONTRE-INDICATION ABSOLUE","danger","REMEDIES","colchicine","clarithromycine;erythromycine;azithromycine;roxithromycine;josamycine","","","","non","OK (a priori)","",""
"corticoide","SUP_PIMC_01","Corticoïde systémique > 3 mois sans bilan ostéoporose","warning","PIM_CHECK","corticoide;prednisone;prednisolone;methylprednisolone;dexamethasone","","","","","non","OK (a priori)","",""
"covid-19 marn ou sous-unite","SUP_START_059","Vaccin SARS-CoV2","warning","STOPP3+REMEDIES+PIM_CHECK","covid-19 marn ou sous-unite","","","","","non","CLE_COMPOSEE (verifier ciblage)","",""
"darbepoetine","SUP_START_024","Analogue de l'erythropoietine","warning","STOPP3+REMEDIES+PIM_CHECK","darbepoetine;epoetine alfa;epoetine beta","","","","","non","CLE_COMPOSEE (verifier ciblage)","",""
"digoxine","SUP_CAUT_070","Digoxine FORTA C (IC)","info","FORTA+PRISCUS+PIM_CHECK","digoxine","","","","","non","OK (a priori)","",""
"digoxine","SUP_INT_010","Digoxine + Amiodarone : surveiller digoxinémie","danger","BEERS","digoxine","amiodarone","","","","non","OK (a priori)","",""
"dimenhydrinate","SUP_EU7_02","Dimenhydrinate (antiémétique)","warning","EU7PIM+PRISCUS","dimenhydrinate","","","","","non","OK (a priori)","",""
"diuretique","SUP_PIMC_02","Diurétique sans ionogramme de surveillance","warning","PIM_CHECK","diuretique;furosemide;bumetanide;hydrochlorothiazide;indapamide;spironolactone","","","","","non","OK (a priori)","",""
"donepezil","SUP_PIMC_06","Inhibiteur acétylcholinestérase sans ECG de référence","warning","PIM_CHECK","donepezil;rivastigmine;galantamine","","","","","non","OK (a priori)","",""
"donepezil","SUP_REM_03","Médicament anti-Alzheimer si démence sévère sans bénéfice observé","warning","REMEDIES+STOPPFRAIL","donepezil;rivastigmine;galantamine;memantine","","","","","non","OK (a priori)","",""
"doxazosine","SUP_INT_005","Alpha-bloquant HTA + Diurétique de l'anse (femme)","warning","BEERS","doxazosine;prazosine;terazosine;urapidil","furosemide;bumetanide","","","","non","OK (a priori)","",""
"doxazosine","SUP_STOP_004","Alpha-1 bloquants comme antihypertenseurs","danger","BEERS+FORTA+PRISCUS+REMEDIES+PIM_CHECK","doxazosine;prazosine;terazosine","","","","","non","OK (a priori)","",""
"duloxetine yentreve","SUP_STOP_044","Duloxetine","warning","STOPP3+PIM_CHECK","duloxetine yentreve;cymbalta","","","","","non","CLE_COMPOSEE (verifier ciblage)","",""
"fer","SUP_REM_01","Fer oral au long cours sans vérification de la réponse","warning","REMEDIES","fer;fumarate ferreux;sulfate ferreux;ascorbate ferreux","","","","","non","CLE_COMPOSEE (verifier ciblage)","",""
"finasteride","SUP_START_045","Inhibiteur de la 5-alpha reductase","warning","STOPP3+REMEDIES+PIM_CHECK","finasteride;dutasteride","","","","","non","OK (a priori)","",""
"flecainide","SUP_PIMC_07","Antiarythmique classe I/III sans ECG régulier","warning","PIM_CHECK","flecainide;propafenone;amiodarone;dronedarone;sotalol","","","","","non","OK (a priori)","",""
"flecainide","SUP_STOP_005","Antiarythmiques","warning","BEERS+FORTA+PRISCUS+PIM_CHECK","flecainide;propafenone;dronedarone;sotalol;disopyramide","","","","","non","OK (a priori)","",""
"flecainide","SUP_STOP_067","Antiarythmiques classe Ic en premisses chez le sujet age","danger","FORTA+PRISCUS+PIM_CHECK","flecainide;propafenone","","","","","non","OK (a priori)","",""
"fluoxetine","SUP_STOP_017","Fluoxetine","warning","FORTA+PRISCUS+STOPPFRAIL+REMEDIES+PIM_CHECK","fluoxetine","","","","","non","OK (a priori)","",""
"fumarate ferreux 600 mgj","SUP_STOP_025","Fer oral a doses elevees","warning","STOPP3+PIM_CHECK","fumarate ferreux 600 mgj;sulfate ferreux 600 mgj;gluconate ferreux 1800 mgj","","","","","non","CLE_COMPOSEE (verifier ciblage)","",""
"furosemide","SUP_STOP_001","Diuretique de l'anse en premiere ligne pour HTA","warning","BEERS+STOPPFRAIL","furosemide;bumetanide;torasemide","","","","","non","OK (a priori)","",""
"furosemide","SUP_STOP_002","Diuretique de l'anse pour oedemes des chevilles isoles","warning","BEERS+FORTA","furosemide;bumetanide;torasemide","","","","","non","OK (a priori)","",""
"glibenclamide","SUP_STOP_069","Glibenclamide et glimepiride","danger","BEERS+FORTA+PRISCUS+STOPPFRAIL+REMEDIES+PIM_CHECK","glibenclamide;glimepiride","","","","","non","OK (a priori)","",""
"iec","SUP_DEP_061","Antihypertenseurs (STOPP/FRAIL)","info","STOPP3+STOPPFRAIL+REMEDIES+PIM_CHECK","iec;ara2;ica;beta-bloquants;diuretiques","","","","severe","non","OK (a priori)","",""
"iec","SUP_INT_007","IEC/ARA2 + Cotrimoxazole : hyperkaliémie sévère","danger","REMEDIES","iec;ara2","cotrimoxazole;trimethoprime;sulfamethoxazole","","","","non","OK (a priori)","",""
"iec","SUP_PIMC_08","Triple association IEC/ARA2 + diurétique + AINS","danger","PIM_CHECK","iec;ara2","ains","","","","OUI","QUARANTAINE (fait)","",""
"iec","SUP_PIMC_10","IEC/ARA2 sans contrôle créatinine/K+ post-initiation","warning","PIM_CHECK","iec;ara2","","","","","non","OK (a priori)","",""
"indocid","SUP_STOP_037","Indomethacine et ketorolac","warning","BEERS+FORTA+PRISCUS+STOPPFRAIL+REMEDIES+PIM_CHECK","indocid;toradol","","","","","non","OK (a priori)","",""
"insuline rapide reactive seule","SUP_STOP_053","Insuline en glissant ou sliding scale","warning","BEERS+FORTA+PIM_CHECK","insuline rapide reactive seule","","","","","non","CLE_COMPOSEE (verifier ciblage)","",""
"ipp omeprazole","SUP_DEP_064","IPP (STOPP/FRAIL)","info","BEERS+FORTA+PRISCUS+STOPPFRAIL+REMEDIES+PIM_CHECK","ipp omeprazole;pantoprazole;etc","","","","severe","non","CLE_COMPOSEE (verifier ciblage)","",""
"levodopacarbidopa","SUP_STOP_015","Levodopa ou agoniste dopaminergique pour syndrome parkinsonien iatrogene","warning","STOPP3+REMEDIES+PIM_CHECK","levodopacarbidopa;pramipexole;ropinirole","","","","","non","OK (a priori)","",""
"lithium","SUP_INT_001","Lithium + IEC/ARA2 : surveiller lithémie","warning","BEERS","lithium","iec;ara2","","","","non","OK (a priori)","",""
"lithium","SUP_INT_012","Lithium + AINS ou diurétique thiazidique : toxicité lithique","danger","BEERS+STOPP3","lithium","ains;ibuprofene;naproxene;diclofenac;ketoprofene;celecoxib;hydrochlorothiazide;indapamide;thiazidique","","","","non","OK (a priori)","",""
"lithium","SUP_PIMC_03","Lithium sans monitorage régulier","warning","PIM_CHECK","lithium","","","","","non","OK (a priori)","",""
"loperamide","SUP_EU7_05","Loperamide > 3 jours ou > 12 mg/j","warning","EU7PIM+PRISCUS","loperamide","","","","","non","OK (a priori)","",""
"mebeverine","SUP_EU7_04","Mébévérine au long cours","info","EU7PIM+PRISCUS","mebeverine","","","","","non","OK (a priori)","",""
"mebeverine","SUP_REM_05","Antispasmodique GI au long cours","info","REMEDIES","mebeverine;alverine;phloroglucinol;trimebutine","","","","","non","OK (a priori)","",""
"megace","SUP_STOP_027","Acetate de megestrol","danger","STOPP3+BEERS+STOPPFRAIL+REMEDIES+PIM_CHECK","megace","","","","","non","OK (a priori)","",""
"methotrexate","SUP_PIMC_04","Méthotrexate sans supplémentation en acide folique","danger","PIM_CHECK","methotrexate","","","","","non","OK (a priori)","",""
"methotrexate","SUP_START_038","Traitement de fond (DMARD) rhumatologie","warning","STOPP3+BEERS+FORTA+REMEDIES+PIM_CHECK","methotrexate;leflunomide;hydroxychloroquine;sulfasalazine","","","","","non","OK (a priori)","",""
"methyldopa","SUP_STOP_056","Antihypertenseurs d'action centrale chez chuteur","warning","STOPP3+BEERS+PRISCUS+STOPPFRAIL+REMEDIES+PIM_CHECK","methyldopa;clonidine;moxonidine;rilmenidine;guanfacine","","","","","non","OK (a priori)","",""
"mirtazapine","SUP_CAUT_074","Mirtazapine FORTA B","info","FORTA+REMEDIES+PIM_CHECK","mirtazapine","","","","","non","OK (a priori)","",""
"morphine lp","SUP_STOP_057","Opioide longue duree seul sans opioide de secours","warning","STOPP3+BEERS+REMEDIES+PIM_CHECK","morphine lp;oxycodone lp;fentanyl patch;buprenorphine patch","","","","","non","CLE_COMPOSEE (verifier ciblage)","",""
"motilium","SUP_STOP_079","Domperidone","danger","FORTA+PRISCUS+REMEDIES+PIM_CHECK","motilium","","","","","non","OK (a priori)","",""
"nifedipine gelules 10mg","SUP_STOP_003","Nifedipine forme immediate","warning","BEERS+FORTA+PRISCUS+PIM_CHECK","nifedipine gelules 10mg","","","","","non","CLE_COMPOSEE (verifier ciblage)","",""
"o2 concentrateur  15hj","SUP_START_033","Oxygenotherapie de longue duree","danger","STOPP3+BEERS+REMEDIES+PIM_CHECK","o2 concentrateur  15hj","","","","","non","CLE_COMPOSEE (verifier ciblage)","",""
"oestradiol oral","SUP_STOP_049","Oestrogene systemique (oral ou patch)","warning","STOPP3+BEERS+REMEDIES+PIM_CHECK","oestradiol oral;oestradiol patch;oestrogenes conjugues","","","","","non","DOUBLON_TITRE (a revoir)","",""
"oestradiol oral","SUP_STOP_050","Oestrogene systemique (oral ou patch)","warning","STOPP3+BEERS+REMEDIES+PIM_CHECK","oestradiol oral;patch;oestrogenes conjugues","","","","","OUI","QUARANTAINE (fait)","",""
"oestradiol oralpatch","SUP_STOP_012","Oestrogene ou androgene systemique","warning","STOPP3+BEERS+PRISCUS+REMEDIES+PIM_CHECK","oestradiol oralpatch;testosterone","","","","","non","CLE_COMPOSEE (verifier ciblage)","",""
"oestradiol ovule","SUP_START_046","Oestrogene local voie vaginale","warning","STOPP3+BEERS+REMEDIES+PIM_CHECK","oestradiol ovule;creme;anneau vaginal","","","","","non","DOUBLON_TITRE (a revoir)","",""
"oestradiol seul oral ou patch","SUP_STOP_052","Oestrogene systemique sans progestatif","warning","STOPP3+BEERS+REMEDIES+PIM_CHECK","oestradiol seul oral ou patch","","","","","non","CLE_COMPOSEE (verifier ciblage)","",""
"oestradiol vaginal","SUP_START_047","Oestrogene local voie vaginale","warning","STOPP3+REMEDIES+PIM_CHECK","oestradiol vaginal","","","","","non","DOUBLON_TITRE (a revoir)","",""
"oxybutynine","SUP_STOP_042","Antimuscarinique systemique","warning","STOPP3+BEERS+PRISCUS+REMEDIES+PIM_CHECK","oxybutynine;tolterodine;solifenacine;darifenacine;fesoterodine;trospium","","","","","non","DOUBLON_TITRE (a revoir)","",""
"oxybutynine","SUP_STOP_043","Antimuscarinique systemique","warning","STOPP3+PRISCUS+REMEDIES+PIM_CHECK","oxybutynine;tolterodine;solifenacine;darifenacine;fesoterodine","","","","","OUI","QUARANTAINE (fait)","",""
"oxybutynine ditropan","SUP_STOP_076","Oxybutynine","warning","BEERS+FORTA+PRISCUS+STOPPFRAIL+REMEDIES+PIM_CHECK","oxybutynine ditropan;driptane","","","","","non","CLE_COMPOSEE (verifier ciblage)","",""
"paraffine","SUP_EU7_07","Paraffine liquide (laxatif)","warning","EU7PIM+PRISCUS","paraffine","","","","","non","OK (a priori)","",""
"paroxetine","SUP_STOP_016","Paroxetine","danger","BEERS+FORTA+PRISCUS+STOPPFRAIL+REMEDIES+PIM_CHECK","paroxetine","","","","","non","OK (a priori)","",""
"patch de lidocaine 5","SUP_STOP_058","Patch de lidocaine pour arthrose chronique","warning","STOPP3+PIM_CHECK","patch de lidocaine 5","","","","","non","CLE_COMPOSEE (verifier ciblage)","",""
"pentoxifylline","SUP_REM_08","Vasodilatateurs cérébraux/périphériques (efficacité non prouvée)","warning","REMEDIES+EU7PIM","pentoxifylline;ginkgo;piracetam;naftidrofuryl;nicergoline","","","","","non","OK (a priori)","",""
"phenobarbital","SUP_STOP_018","Barbituriques","warning","BEERS+FORTA+PRISCUS+STOPPFRAIL+REMEDIES+PIM_CHECK","phenobarbital;pentobarbital","","","","","non","OK (a priori)","",""
"phenytoine","SUP_INT_002","Phénytoïne + Cotrimoxazole : risque de toxicité","danger","BEERS+EU7PIM","phenytoine","cotrimoxazole;trimethoprime;sulfamethoxazole","","","","non","OK (a priori)","",""
"prednisolone","SUP_STOP_031","Corticosteroides systemiques a la place des inhales dans BPCO","warning","STOPP3+PRISCUS+STOPPFRAIL+REMEDIES+PIM_CHECK","prednisolone;methylprednisolone","","","","","non","OK (a priori)","",""
"prednisolone","SUP_STOP_034","Corticoide systemique au long cours en monotherapie","warning","STOPP3+BEERS+REMEDIES+PIM_CHECK","prednisolone;prednisone;methylprednisolone","","","","","non","OK (a priori)","",""
"prednisolone","SUP_STOP_035","Corticoide systemique pour arthrose","warning","STOPP3+REMEDIES+PIM_CHECK","prednisolone;methylprednisolone","","","","","non","OK (a priori)","",""
"pregabaline","SUP_CAUT_072","Pregabaline et gabapentine FORTA C/D","info","BEERS+FORTA+PRISCUS+PIM_CHECK","pregabaline;gabapentine","","","","","non","OK (a priori)","",""
"propranolol","SUP_START_022","Propranolol","warning","STOPP3+BEERS+REMEDIES+PIM_CHECK","propranolol","","","","","non","OK (a priori)","",""
"psyllium","SUP_START_028","Fibre alimentaire","warning","STOPP3+REMEDIES+PIM_CHECK","psyllium;ispaghule;methylcellulose","","","","","non","OK (a priori)","",""
"rivotril","SUP_STOP_080","Clonazepam (indication non epilepsie)","warning","FORTA+PRISCUS+STOPPFRAIL+REMEDIES+PIM_CHECK","rivotril","","","","","non","OK (a priori)","",""
"ropinirole","SUP_START_021","Agoniste dopaminergique","warning","STOPP3+BEERS+FORTA+REMEDIES+PIM_CHECK","ropinirole;pramipexole;rotigotine","","","","","non","OK (a priori)","",""
"saccharomyces boulardii","SUP_START_029","Probiotiques","warning","STOPP3+REMEDIES+PIM_CHECK","saccharomyces boulardii;lactobacillus rhamnosus","","","","","non","CLE_COMPOSEE (verifier ciblage)","",""
"scopolamine","SUP_EU7_03","Scopolamine (antiémétique)","danger","EU7PIM","scopolamine;hyoscine","","","","","non","OK (a priori)","",""
"sertraline","SUP_START_020","ISRS (ou IRSNA si ISRS CI, ou pregabaline)","warning","STOPP3+FORTA+REMEDIES+PIM_CHECK","sertraline;escitalopram;venlafaxine;pregabaline","","","","","non","OK (a priori)","",""
"sildenafil","SUP_START_048","Inhibiteur de la PDE5","warning","STOPP3+BEERS+REMEDIES+PIM_CHECK","sildenafil;tadalafil;vardenafil;avanafil","","","","","non","OK (a priori)","",""
"somatropine","SUP_STOP_055","Hormone de croissance (GH)","warning","BEERS+FORTA+STOPPFRAIL+REMEDIES+PIM_CHECK","somatropine;somatropin","","","","","non","OK (a priori)","",""
"stablon","SUP_STOP_077","Tianeptine","warning","PIM_CHECK","stablon","","","","","non","OK (a priori)","",""
"statines","SUP_DEP_065","Deprescription preventive globale chez le fragile severe (STOPP/FRAIL)","info","STOPPFRAIL+REMEDIES+PIM_CHECK","statines;antihypertenseurs;bisphosphonates;aspirine prevention primaire;multivitamines sans carence;supplements sans indication","","","","severe","non","CLE_COMPOSEE (verifier ciblage)","",""
"testosterone gel","SUP_STOP_054","Testosterone ou androgene","warning","BEERS+FORTA+STOPPFRAIL+REMEDIES+PIM_CHECK","testosterone gel;patch;injectable","","","","","non","CLE_COMPOSEE (verifier ciblage)","",""
"theophylline","SUP_INT_003","Théophylline + Fluoroquinolones : toxicité théophylline","danger","BEERS","theophylline","ciprofloxacine;norfloxacine;levofloxacine;ofloxacine;moxifloxacine","","","","non","OK (a priori)","",""
"ths combine oral ou patch","SUP_STOP_051","Hormonotherapie menopausique (oestrogene + progestatif)","warning","STOPP3+BEERS+REMEDIES+PIM_CHECK","ths combine oral ou patch","","","","","non","CLE_COMPOSEE (verifier ciblage)","",""
"tiotropium","SUP_START_032","LAMA ou LABA","warning","BEERS+FORTA+PRISCUS+PIM_CHECK","tiotropium;aclidinium;umeclidinium","","","","","non","OK (a priori)","",""
"tous les isrs","SUP_STOP_014","ISRS","warning","STOPP3+BEERS+REMEDIES+PIM_CHECK","tous les isrs","","","","","non","CLE_COMPOSEE (verifier ciblage)","",""
"trihexyphenidyle","SUP_STOP_075","Trihexyphenidyle (Artane), biperiden (Akineton)","warning","BEERS+FORTA+PRISCUS+STOPPFRAIL+REMEDIES+PIM_CHECK","trihexyphenidyle;biperiden;tropatepine","","","","","non","OK (a priori)","",""
"triple therapie ou quadritherapie","SUP_START_030","Eradication H.pylori","warning","STOPP3+BEERS+REMEDIES+PIM_CHECK","triple therapie ou quadritherapie","","","","","non","CLE_COMPOSEE (verifier ciblage)","",""
"verapamil","SUP_INT_011","Inhibiteur calcique non-DHP + Bêtabloquant : trouble conductif","danger","BEERS","verapamil;diltiazem","betabloquant","","","","non","OK (a priori)","",""
"warfarine","SUP_INT_004","AVK + Amiodarone : surveiller INR étroitement","danger","BEERS","warfarine;fluindione;acenocoumarol;avk","amiodarone","","","","non","OK (a priori)","",""
"warfarine","SUP_INT_009","AVK + ISRS : surveillance INR","warning","BEERS","warfarine;fluindione;acenocoumarol;avk","isrs;citalopram;escitalopram;sertraline;paroxetine;fluoxetine","","","","non","OK (a priori)","",""
"zz","SUP_REM_06","Supplémentation multivitamines sans carence documentée","info","REMEDIES+STOPPFRAIL","","","","","","non","OK (a priori)","",""
"zz","SUP_REM_09","Double anticoagulation non justifiée","danger","REMEDIES","","","","","","non","OK (a priori)","",""
"zz","SUP_REM_10","Réévaluation annuelle de chaque traitement chronique","info","REMEDIES","","","","","","non","OK (a priori)","",""
